Malware analysis and reverse engineering	Records primarily about analyzing malicious software, reverse engineering binaries or firmware, extracting indicators, understanding malware behavior, or building tooling for malware analysis.
Exploit development and vulnerability discovery	Records primarily about finding, validating, disclosing, or exploiting vulnerabilities, including vulnerability research, exploit chains, RCE, privilege escalation, bypasses, memory corruption, or proof-of-concept exploit work.
Vulnerability management and intelligence	Records primarily about vulnerability management, vulnerability prioritization, exposure management, remediation workflows, CVE intelligence, KEV, EPSS, CVSS, SSVC, vulnerability scanning, asset exposure, exploitability intelligence, or operational decisions about patching and mitigation.
Identity, OAuth, and access delegation	Records primarily about identity systems, authentication, authorization, OAuth, delegated access, service-to-service tokens, passkeys, MFA, access control failures, or abuse of identity infrastructure.
Application security	Records primarily about finding, preventing, or exploiting weaknesses in applications, APIs, web systems, source code, authentication flows, app-layer controls, secure coding, or application security testing.
Threat modeling	Records primarily about structured security design analysis, attack trees, abuse cases, misuse cases, architecture risk, STRIDE-style analysis, or identifying threats before implementation.
Cloud, infrastructure, and CDR	Records primarily about cloud platforms, infrastructure, containers, Kubernetes, infrastructure-as-code, cloud detection and response, CNAPP/CSPM, cloud telemetry, or security operations for cloud environments.
OT and IoT security	Records primarily about operational technology, industrial control systems, IoT, embedded devices, firmware, appliances, SCADA, industrial protocols, or security of cyber-physical systems.
Detection engineering, SOC, SIEM, and threat hunting	Records primarily about building, testing, operating, or improving detection logic, SOC workflows, SIEM pipelines, telemetry analysis, alert triage, threat hunting, or detection validation.
AI security, prompt injection, and jailbreaking	Records primarily about attacks, defenses, testing, governance, or abuse of AI applications, LLMs, agents, prompt injection, jailbreaks, malicious tools, agent hijacking, or AI red teaming.
RAG and GraphRAG security	Records primarily about retrieval-augmented generation, GraphRAG, vector search, knowledge graphs, retrieval security, RAG access control, poisoning, leakage, or security of retrieval pipelines.
Software supply chain security	Records primarily about package ecosystems, dependencies, malicious packages, build systems, CI/CD, open source risk, SBOMs, code signing, repository security, or supply chain attacks.
Privacy and data leakage	Records primarily about privacy risk, data exposure, memorization, deanonymization, leakage channels, private information handling, privacy-preserving systems, or unintended disclosure.
Machine learning model security	Records primarily about ML model behavior or security, including adversarial machine learning, model extraction, model inversion, robustness, evaluation, deserialization, backdoors, datasets, or ML infrastructure.
Data loss detection and prevention	Records primarily about detecting, preventing, or investigating sensitive data movement, DLP, exfiltration, secrets exposure, data classification, egress controls, or insider data risk.
Governance, risk, and compliance	Records primarily about security governance, risk management, compliance, audit, policy, regulation, third-party risk, AI governance, responsible AI, or security control frameworks.
Network security and NDR	Records primarily about network security, network detection and response, packet or traffic analysis, DNS, BGP, tunneling, firewalls, Zeek, Suricata, network telemetry, or network-based attacks and defenses.
Endpoint security and EDR	Records primarily about endpoint detection and response, endpoint telemetry, Windows/macOS/Linux endpoint behavior, process injection, kernel drivers, Sysmon, ETW, XDR, or host-based attacks and defenses.
AI applications agents and workflow automation	Records primarily about practical AI applications, agents, assistants, automation workflows, and LLM-enabled tools used to automate tasks, summarize content, orchestrate workflows, or support domain-specific work outside core AI security research.
AI infrastructure data engineering and model systems	Records primarily about AI infrastructure, model-serving systems, data pipelines, retrieval architecture, knowledge graphs, GPU or accelerator systems, model routing, memory/context systems, or other engineering foundations for AI applications.
AI-assisted software development and developer tooling	Records primarily about AI-assisted coding, software development workflows, coding agents, developer productivity tools, requirements engineering, repository analysis, code generation, or AI-supported software performance and maintenance work.
Blockchain and cryptocurrency security	Records primarily about security, privacy, fraud, protocol, wallet, smart contract, exchange, ecosystem, Web3, cryptocurrency, blockchain, or decentralized finance issues.
Censorship circumvention and resilient communications	Records primarily about tools, tactics, or systems for preserving access to information, communication, and coordination under censorship, internet shutdowns, surveillance pressure, or hostile network conditions.
Cryptography key management and post-quantum security	Records primarily about cryptographic systems, key management, hardware security modules, cryptographic agility, post-quantum migration, cryptographic protocol operations, or applied cryptography topics.
Cyberbiosecurity and biotechnology security	Records primarily about security issues at the intersection of biology, biotechnology, bioinformatics, AI-designed biological systems, molecular engineering, lab workflows, or cyberbiosecurity risk.
Cybercrime fraud and social engineering	Records primarily about cybercrime ecosystems, scams, fraud operations, social engineering, darknet markets, criminal monetization, victim targeting, scam prevention, or abuse workflows.
Cybersecurity market and vendor strategy	Records primarily about cybersecurity market analysis, vendor strategy, security product positioning, investment commentary, buyer behavior, product communications, or business strategy in the security industry.
Digital forensics preservation and cyber history	Records primarily about digital forensics, historical computing artifacts, cybercrime or hacker history, archival recovery, web archiving, digital preservation, or security-relevant historical research.
Election security	Records primarily about election technology, voting systems, ballot-marking devices, election infrastructure, internet voting, verifiability, election integrity, voting-system regulation, or related security and trust issues.
General AI education and prompt engineering	Records primarily about general AI literacy, LLM education, prompt engineering, AI courses, model usage guidance, AI training resources, or non-security AI learning material.
General technology productivity and non-security applications	Records primarily about general technology, productivity, business, health, education, statistics, software preservation, or other non-security or weakly security-adjacent content that does not fit a more specific AI or security topic.
Hardware RF and physical security	Records primarily about hardware hacking, RF and wireless experimentation, physical security, badge making, maker culture, covert entry, radio systems, SDR, or human and physical-layer security topics.
Professional development workforce and hiring	Records primarily about professional development, hiring, interviews, workforce development, mentoring, career growth, burnout, cognitive resilience, education access, or security and technology workforce topics.
Security education community and conference operations	Records primarily about security education, training, community events, conference operations, conference culture, CTFs, event programming, community media, opening remarks, or non-research conference content.
Threat intelligence and adversary tracking	Records primarily about threat intelligence, adversary tracking, attribution, geopolitical cyber activity, hacktivist or criminal group disruption, OSINT investigations, campaign analysis, or actor-focused reporting.
Evasion, bypass, and detection avoidance	Records primarily about techniques, systems, or defenses involving evasion of detection, moderation, classifiers, security controls, identity checks, EDR, SOC workflows, AI or LLM guardrails, facial recognition, malware classifiers, or other defensive mechanisms, including evading, bypassing, fooling, obfuscation, and anti-detection behavior.
